Parent W.O.	Work Order No.	Unit Number	Work Order Description	Branch Description	WO St	Asset Number Description	Start Date	Complete Date	Address Number	Manager	Store	Status Comment	Supervisor	Assigned To	Doc Type	W.O. Type	W.O. Type Description	Priority	Priority Description	Asset Number	Serial Number	Request Date	Planned Complete	WO St Description	Work Order Origin	Work Order Origin Description	Repair Type	Repair Type Description	Component Group	Component Group Description	F M	Flash Message Description	Doc Date	Estimated Downtime	Actual Hours	Estimated Hours	Time of Day	Date Updated	User ID	Program ID	Originator Number	Document Number	% Cmp	Fail Stat	Labour Actioned By	Trade Group	Root Cause	Symptom	Accident Details	Special Reporting Cat	Cat 11	Cat 12	Cat 13	Cat 14	Cat 15	Cat 16	Functional Location 1	Functional Location 2	Permit Type	Revision	Reference	Actual Labor	Serial No. Off	Completed Meter	Warranty Claim No.	Actual Start Date	Address Number Description	Assigned To Description	Supervisor Description	Manager Description	Originator Number Description	Service Type	Service Type Description	Actual Material	Actual Other	Sub/ CCode	Serial No. On	Issue	Warranty Status	Warranty Sett. Date	Estimated Labor	Estimated Material	Estimated Other	App Typ	Approval Type Description	Start Date
06937567	6950091	RD5044	OFFSITE REPAIR - RIDE STRUT PO	MSJ Coal Mine Project	EE	Cat 777D	13/06/23				      515039	 	22947	502804	WO	O	Plant Offsite Work Orders	3	Schedule for Down Day/Service	163852	AGC01819	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N18	"Chassis,Fram,Cabin,Str Axles"	 	                             .	13/06/23				170159	13/06/23	RRAMADONI1	EP13714	775764			02	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	INDO		 		Refer to Parent WO			Andalan Fluid Sistem PT	Balikpapan External Repairs		" Ramadoni1, Rizky"	N8200-01	Ride Strut POS 1			Z018	 	OFFSITE REPAIR - RIDE STRUT POS 1_LIFE 85% LEAKS CAT 777D_500PD	 					 	                             .	
06232856	6950113	RD4300	OFFSITE REPAIR - LTP_ROT_RIDE	MSJ Coal Mine Project	EE	Cat 777D	13/06/23		757164	20086	      515039	Long Term Planning Order	22947	502804	WO	O	Plant Offsite Work Orders	4	Schedule for Major Shutdown	151337	FKR00707	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N18	"Chassis,Fram,Cabin,Str Axles"	 	                             .	13/06/23				171116	13/06/23	RRAMADONI1	EP13714	775764			06	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO		MSJ Coal Mine Project	Andalan Fluid Sistem PT	Balikpapan External Repairs	"Koekemoer, Jan Adam Petrus"	" Ramadoni1, Rizky"	N8200-04	Ride Strut POS 4			Z018	 	OFFSITE REPAIR - LTP_ROT_RIDE STRUT POS 4_CAT 777D_500PD	 					 	                             .	
06929206	6950259	GR1388	OFFSITE REPAIR - BDI_HYD CYL S	MSJ Coal Mine Project	EE	Cat 18M3	13/06/23				      515039	 	22947	502804	WO	O	Plant Offsite Work Orders	1	Unit Down	162635	E9W00233	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N17	Hydraulics	 	                             .	13/06/23				183904	13/06/23	RRAMADONI1	EP13714	775764			06	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO			Andalan Fluid Sistem PT	Balikpapan External Repairs		" Ramadoni1, Rizky"	N7542-L	Hyd Cyl Steer LEFT			Z017	 	OFFSITE REPAIR - BDI_HYD CYL STEER LEFT_CAT 18M3_LIFE 22% LEAKING & SENSOR FAILU	 					 	                             .	
06945282	6950261	DZ1562	OFFSITE REPAIR - OPERATOR SEAT	MSJ Coal Mine Project	EE	Cat D10T	13/06/23			26854	      515039	REQ BY DICKY	22947	217827	WO	O	Plant Offsite Work Orders	3	Schedule for Down Day/Service	84184	RJG02559	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N18	"Chassis,Fram,Cabin,Str Axles"	 	                             .	13/06/23				183935	13/06/23	RRAMADONI1	EP13714	775764			06	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO			CV. Amanah Indonesia	Balikpapan External Repairs	"Adinata, Yohanes Jimmy"	" Ramadoni1, Rizky"	N8995	Operator Seat			Z018	 	OFFSITE REPAIR - OPERATOR SEAT_CAT D8R_500PD	 					 	                             .	
06941491	6950264	EX3014	OFFSITE REPAIR - BDI_INV_GREAS	MSJ Coal Mine Project	EE	Hitachi EX2500-5	13/06/23			26854	      515039	REQ ARYA	22947	418008	WO	O	Plant Offsite Work Orders	2	Repair When Parts are Availabl	12888	HCM18600H00000559	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N26	Grease System	 	                             .	13/06/23				184749	13/06/23	RRAMADONI1	EP13714	775764			01	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	INDO		 		Refer to Parent WO			Arindo Perkasa CV	Balikpapan External Repairs	"Adinata, Yohanes Jimmy"	" Ramadoni1, Rizky"	N0091-01	Grease Pump POS 01			P026	 	OFFSITE REPAIR - BDI_INV_GREASE PUMP POS 1 _STUCK LIFE 21%	 					 	                             .	
06412801	6950315	DZ3176	REMAN_TRANSMISSION PUMP_OP 711	MSJ Coal Mine Project	EE	Cat D10T	13/06/23		757164	10192	      515039	 	22947	59845	WO	O	Plant Offsite Work Orders	1	Unit Down	63886	RJG01451	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RRE	Reman	N12	"Drv Sys, TC/Trans, Elec Prop"	 	                             .	13/06/23				200934	13/06/23	FITRIYANI	EP13714	19554			01	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO		MSJ Coal Mine Project	Trakindo Utama P T	Balikpapan External Repairs	"Jessup, Brett"	Fitriyani	N2004	Transmission Pump			P012	 	REMAN_TRANSMISSION PUMP_OP 7113786	 					 	                             .	
06536764	6942615	EX2393	RR - TCI ROTABLE__C/OUT  HYD C	TSA Mining - Melak	EE	Liebherr R9350	13/06/23			19518	      515021	REPAIR RETURN TO STOCK	22947	502804	WO	O	Plant Offsite Work Orders	3	Schedule for Down Day/Service	148412	411-24783	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N17	Hydraulics	1	W.O. Scheduling	08/06/23				183046	13/06/23	RRAMADONI1	EP13714	325451			06	LI	TMT	 	 	 	 	 	 	 	 	 	 	 	 	 	 	INDO		 		Refer to Parent WO			Andalan Fluid Sistem PT	Balikpapan External Repairs	"Allo, Yos Payung"	"Baso, Muhamad Apsyir"	N7426-L	Hyd Cyl Boom Lift LEFT			P017	 	RR - TCI ROTABLE__C/OUT  HYD CYL BOOM LIFT LEFT_LIEB R9350_SCHEDULE	 					 	                             .	
06927794	6942747	GR1196	RR - PSD_CO PXB_REPLACE CIRCLE	TSA Mining - Melak	EE	Cat 16M	13/06/23			19518	      515021	REPAIR RETURN TO STOCK	22947	18850	WO	O	Plant Offsite Work Orders	2	Repair When Parts are Availabl	89881	R9H00367	13/06/23	13/06/23	OSR-Repair Evaluated	OSM	PM Schedule	RNP	Normal Repair	N18	"Chassis,Fram,Cabin,Str Axles"	 	                             .	08/06/23				183255	13/06/23	RRAMADONI1	EP13714	325451			05	LI	TMT	32	18	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO			BSF Fabrication Workshop	Balikpapan External Repairs	"Allo, Yos Payung"	"Baso, Muhamad Apsyir"	N8040	Circle & Drawbar			P018	 	RR - PSD_CO PXB_REPLACE CIRCLE BEAM & MOLDBOARD INLINE A FRAME DRAWB	 					 	                             .	
06944612	6944615	 	OFFSITE REPAIR - RR - MLK - EL	TSA Mining - Melak	EE		13/06/23		18834	19518	      515021	REPAIR RETURN TO SITE	22947	248772	WO	O	Plant Offsite Work Orders	2	Repair When Parts are Availabl		 	13/06/23	13/06/23	OSR-Repair Evaluated	OMR	Management Request	RNP	Normal Repair	 	.	 	                             .	09/06/23				183122	13/06/23	RRAMADONI1	EP13714	1362941			04	LX	TET	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO		Plant Department	Prima Multi Cipta Karya P T	Balikpapan External Repairs	"Allo, Yos Payung"	"Raflesia, Cendana"	 				00620	 	OFFSITE REPAIR - RR - MLK - ELECTRIC MOTOR FOR REPAIR & REWINDING	 					 	                             .	
06944619	6944620	 	OFFSITE REPAIR - RR - MLK - EL	TSA Mining - Melak	EE		13/06/23		18834	19518	      515021	REPAIR RETURN TO SITE	22947	248772	WO	O	Plant Offsite Work Orders	2	Repair When Parts are Availabl		 	13/06/23	13/06/23	OSR-Repair Evaluated	OMR	Management Request	RNP	Normal Repair	 	.	 	                             .	09/06/23				183150	13/06/23	RRAMADONI1	EP13714	1362941			04	LX	TET	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 		 		Refer to Parent WO		Plant Department	Prima Multi Cipta Karya P T	Balikpapan External Repairs	"Allo, Yos Payung"	"Raflesia, Cendana"	 				00620	 	OFFSITE REPAIR - RR - MLK - ELECTRIC MOTOR FOR REPAIR & REWINDING	 					 	                             .	
